i	j	val
5	59	0.964285714286
5	60	0.0595238095238
5	61	0.047619047619
5	62	0.0595238095238
5	63	0.0714285714286
5	64	0.154761904762
5	65	0.0952380952381
5	66	0.178571428571
5	67	0.0952380952381
5	68	0.0238095238095
5	69	0.0595238095238
5	70	0.202380952381
5	71	0.952380952381
5	72	1.0
5	73	0.0952380952381
5	74	0.666666666667
5	75	0.0595238095238
5	76	0.130952380952
5	77	0.928571428571
5	78	0.630952380952
5	79	0.97619047619
5	80	0.857142857143
5	81	0.821428571429
5	82	0.97619047619
5	83	0.0714285714286
5	84	1.0
5	85	1.0
5	86	0.97619047619
5	87	0.0952380952381
5	88	0.047619047619
5	89	0.047619047619
5	90	0.107142857143
5	91	0.0595238095238
5	92	0.130952380952
5	93	0.0952380952381
5	94	0.0833333333333
5	95	0.952380952381
5	96	0.0833333333333
5	97	0.0357142857143
5	98	0.0833333333333
5	99	0.0714285714286
6	0	0.0875
6	1	0.7875
6	2	0.7875
6	3	0.8375
6	4	0.775
6	5	0.0875
6	6	1.0
6	7	0.75
6	8	0.1
6	9	0.85
6	10	0.05
6	11	0.1
6	12	0.0375
6	13	0.8875
6	14	0.0625
6	15	0.5375
6	16	0.0875
6	17	0.7875
6	18	0.1125
6	19	0.875
6	20	0.9625
6	21	0.9
6	22	0.1
6	23	0.0375
6	24	0.1125
6	25	0.075
6	26	0.1125
6	27	0.8
6	28	0.6625
6	29	0.675
6	30	0.6375
6	31	0.75
6	32	0.7875
6	33	0.7875
6	34	0.825
6	35	0.1
6	36	0.1
6	37	0.0625
6	38	0.1375
6	39	0.6875
6	40	0.125
6	41	0.175
6	42	0.1375
6	43	0.175
6	44	0.1125
6	45	0.85
6	46	0.85
6	47	0.1
6	48	0.9
6	49	0.0375
6	50	0.125
6	51	0.15
6	52	0.1125
6	53	0.1
6	54	0.1
6	55	0.05
6	56	0.3
6	57	0.5375
6	58	0.5625
6	59	0.0875
6	60	0.8625
6	61	0.8625
6	62	0.7875
6	63	0.75
6	64	0.875
6	65	0.8625
6	66	0.8125
6	67	0.6625
6	68	0.675
6	69	0.8
6	70	0.6625
6	71	0.1
6	72	0.1125
6	73	0.625
6	74	0.225
6	75	0.875
6	76	0.75
6	77	0.125
6	78	0.1875
6	79	0.1
6	80	0.1
6	81	0.1625
